Title,Year,Inflation Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget,Profit
Gone With The Wind,1939,1,1895421694,202286200,318,402352579,200882193,50,201500000,50,3900000,196982193
Star Wars Episode IV: A New Hope,1977,2,1668979715,178119500,102,775398007,460998507,59,314399500,41,11000000,449998507
The Sound Of Music,1965,3,1335086324,142485200,0,0,159287539,0,0,0,8200000,151087539
ET: The Extra Terrestrial,1982,4,1329174791,141854300,0,0,437141279,0,0,0,10500000,426641279
Titanic,1997,5,1270101626,135549800,3,2201647264,674292608,30,1542283320,70,200000000,474292608
The Ten Commandments,1956,6,1227470000,131000000,0,0,65500000,0,0,0,13500000,52000000
Jaws,1975,7,1200856389,128159700,245,471411300,265859065,55,210653000,45,12000000,253859065
Doctor Zhivago,1965,8,1163149635,124135500,0,0,111721910,0,0,0,11000000,100721910
The Exorcist,1973,9,1036314504,110599200,276,441306145,233005644,53,208400000,47,12000000,221005644
Snow White And The Seven Dwarfs,1937,10,1021330000,109000000,922,184925486,184925486,100,0,0,1488000,183437486
Star Wars Episode VII: The Force Awakens,2015,11,1013038487,108115100,4,2069521700,936662225,45,1132859475,55,447000000,489662225
One Hundred And One Dalmatians,1961,12,936225101,99917300,770,215880014,144880014,67,71000000,33,3600000,141280014
Star Wars Episode V: The Empire Strikes Back,1980,13,920818947,98273100,200,538375067,292753960,54,245621107,46,33000000,259753960
Ben Hur,1959,14,918699453,98046900,0,0,74432704,0,0,0,15900000,58532704
Avatar,2009,15,911790952,97309600,1,2847246203,785221649,27,2086738578,73,237000000,548221649
Avengers Endgame,2019,16,892669593,95268900,2,2797501328,858373000,31,1939128328,69,356000000,502373000
Star Wars Episode VI: Return Of The Jedi,1983,17,881336578,94059400,240,475106177,309306177,65,165800000,35,32500000,276806177
Jurassic Park,1993,18,860163189,91799700,31,1099428303,404214720,37,695213583,63,63000000,341214720
Star Wars Episode I: The Phantom Menace,1999,19,846224377,90312100,0,0,474544677,0,0,0,115000000,359544677
The Lion King,1994,20,835301768,89146400,38,1063611805,422783777,40,640828028,60,79300000,343483777
The Sting,1973,21,835268973,89142900,0,0,156000000,0,0,0,5500000,150500000
Raiders Of The Lost Ark,1981,22,829651658,88543400,0,0,248159971,0,0,0,18000000,230159971
The Graduate,1967,23,801854616,85576800,0,0,104945305,0,0,0,3000000,101945305
Fantasia,1941,24,778117595,83043500,0,0,76408097,0,0,0,2280000,74128097
The Godfather,1972,25,739503825,78922500,645,246120986,136381073,55,111154575,45,7000000,129381073
Forrest Gump,1994,26,736829627,78637100,135,678226133,330455270,49,347770863,51,55000000,275455270
Mary Poppins,1964,27,732563466,78181800,0,0,102272727,0,0,0,6000000,96272727
Grease,1978,28,722413882,77098600,325,396271103,190071103,48,206200000,52,6000000,184071103
The Avengers,2012,29,720376844,76881200,9,1518815515,623357910,41,895457605,59,220000000,403357910
Jurassic World,2015,30,719633803,76801900,7,1670516444,653406625,39,1018130819,61,150000000,503406625
Black Panther,2018,31,715038755,76311500,13,1347597973,700426566,52,647171407,48,200000000,500426566
Thunderball,1965,32,700876000,74800000,0,0,63595658,0,0,0,9000000,54595658
The Dark Knight,2008,33,697722995,74463500,49,1005973645,534987076,53,471115201,47,185000000,349987076
The Jungle Book,1967,34,690380663,73679900,820,205843612,141843612,69,64000000,31,27000000,114843612
Sleeping Beauty,1959,35,680974120,72676000,0,0,51600000,0,0,0,6000000,45600000
Avengers Infinity War,2018,36,678572589,72419700,5,2048359754,678815482,33,1369544272,67,325000000,353815482
Ghostbusters,1984,37,667872049,71277700,711,229147509,243578797,56,100796935,44,30000000,213578797
Shrek 2,2004,38,665746933,71050900,61,928760770,441226247,48,487534523,52,70000000,371226247
Spider Man,2002,39,661768431,70626300,84,825025036,407022860,49,418002176,51,139000000,268022860
Butch Cassidy And The Sundance Kid,1969,40,661127523,70557900,0,0,102308889,0,0,0,6000000,96308889
Love Story,1970,41,656035865,70014500,0,0,106550690,0,0,0,2200000,104350690
Independence Day,1996,42,649049593,69268900,87,817400891,306169268,37,511231623,63,75000000,231169268
Home Alone,1990,43,634669454,67734200,238,476684675,285761243,60,190923432,40,15000000,270761243
Star Wars Episode VIII: The Last Jedi,2017,44,633360465,67594500,15,1332698830,620181382,47,712517448,53,300000000,320181382
Pinocchio,1940,45,631568921,67403300,0,0,84254167,0,0,0,45000000,39254167
Cleopatra,1963,46,629509395,67183500,0,0,57777778,0,0,0,36000000,21777778
Beverly Hills Cop,1984,47,629195500,67150000,476,316360478,234760478,74,81600000,26,15000000,219760478
Goldfinger,1964,48,621231000,66300000,0,0,51081062,0,0,0,3000000,48081062
Incredibles 2,2018,49,621223504,66299200,19,1243089244,608581744,49,634507500,51,200000000,408581744
Airport,1970,50,619462881,66111300,0,0,100489151,0,0,0,10000000,90489151
American Graffiti,1973,51,615742991,65714300,0,0,115000000,0,0,0,777000,114223000
