Rank,Title,Adj. Lifetime Gross,Lifetime Gross,Est. Num Tickets,Year
1,Gone with the Wind,"$1,895,421,694 ","$200,882,193 ","202,286,200",1939
2,Star Wars: Episode IV - A New Hope,"$1,668,979,715 ","$460,998,507 ","178,119,500",1977
3,The Sound of Music,"$1,335,086,324 ","$159,287,539 ","142,485,200",1965
4,E.T. the Extra-Terrestrial,"$1,329,174,791 ","$437,141,279 ","141,854,300",1982
5,Titanic,"$1,270,101,626 ","$674,292,608 ","135,549,800",1997
6,The Ten Commandments,"$1,227,470,000 ","$65,500,000 ","131,000,000",1956
7,Jaws,"$1,200,856,389 ","$265,859,065 ","128,159,700",1975
8,Doctor Zhivago,"$1,163,149,635 ","$111,721,910 ","124,135,500",1965
9,The Exorcist,"$1,036,314,504 ","$233,005,644 ","110,599,200",1973
10,Snow White and the Seven Dwarfs,"$1,021,330,000 ","$184,925,486 ","109,000,000",1937
11,Star Wars: Episode VII - The Force Awakens,"$1,013,038,487 ","$936,662,225 ","108,115,100",2015
12,One Hundred and One Dalmatians,"$936,225,101 ","$144,880,014 ","99,917,300",1961
13,Star Wars: Episode V - The Empire Strikes Back,"$920,818,947 ","$292,753,960 ","98,273,100",1980
14,Ben-Hur,"$918,699,453 ","$74,432,704 ","98,046,900",1959
15,Avatar,"$911,790,952 ","$785,221,649 ","97,309,600",2009
16,Avengers: Endgame,"$892,669,593 ","$858,373,000 ","95,268,900",2019
17,Star Wars: Episode VI - Return of the Jedi,"$881,336,578 ","$309,306,177 ","94,059,400",1983
18,Jurassic Park,"$860,163,189 ","$404,214,720 ","91,799,700",1993
19,Star Wars: Episode I - The Phantom Menace,"$846,224,377 ","$474,544,677 ","90,312,100",1999
20,The Lion King,"$835,301,768 ","$422,783,777 ","89,146,400",1994
21,The Sting,"$835,268,973 ","$156,000,000 ","89,142,900",1973
22,Raiders of the Lost Ark,"$829,651,658 ","$248,159,971 ","88,543,400",1981
23,The Graduate,"$801,854,616 ","$104,945,305 ","85,576,800",1967
24,Fantasia,"$778,117,595 ","$76,408,097 ","83,043,500",1941
25,The Godfather,"$739,503,825 ","$136,381,073 ","78,922,500",1972
26,Forrest Gump,"$736,829,627 ","$330,455,270 ","78,637,100",1994
27,Mary Poppins,"$732,563,466 ","$102,272,727 ","78,181,800",1964
28,Grease,"$722,413,882 ","$190,071,103 ","77,098,600",1978
29,The Avengers,"$720,376,844 ","$623,357,910 ","76,881,200",2012
30,Jurassic World,"$719,633,803 ","$653,406,625 ","76,801,900",2015
31,Black Panther,"$715,038,755 ","$700,426,566 ","76,311,500",2018
32,Thunderball,"$700,876,000 ","$63,595,658 ","74,800,000",1965
33,The Dark Knight,"$697,722,995 ","$534,987,076 ","74,463,500",2008
34,The Jungle Book,"$690,380,663 ","$141,843,612 ","73,679,900",1967
35,Sleeping Beauty,"$680,974,120 ","$51,600,000 ","72,676,000",1959
36,Avengers: Infinity War,"$678,572,589 ","$678,815,482 ","72,419,700",2018
37,Ghostbusters,"$667,872,049 ","$243,578,797 ","71,277,700",1984
38,Shrek 2,"$665,746,933 ","$441,226,247 ","71,050,900",2004
39,Spider-Man,"$661,768,431 ","$407,022,860 ","70,626,300",2002
40,Butch Cassidy and the Sundance Kid,"$661,127,523 ","$102,308,889 ","70,557,900",1969
41,Love Story,"$656,035,865 ","$106,550,690 ","70,014,500",1970
42,Independence Day,"$649,049,593 ","$306,169,268 ","69,268,900",1996
43,Home Alone,"$634,669,454 ","$285,761,243 ","67,734,200",1990
44,Star Wars: Episode VIII - The Last Jedi,"$633,360,465 ","$620,181,382 ","67,594,500",2017
45,Pinocchio,"$631,568,921 ","$84,254,167 ","67,403,300",1940
46,Cleopatra,"$629,509,395 ","$57,777,778 ","67,183,500",1963
47,Beverly Hills Cop,"$629,195,500 ","$234,760,478 ","67,150,000",1984
48,Goldfinger,"$621,231,000 ","$51,081,062 ","66,300,000",1964
49,Incredibles 2,"$621,223,504 ","$608,581,744 ","66,299,200",2018
50,Airport,"$619,462,881 ","$100,489,151 ","66,111,300",1970
51,American Graffiti,"$615,742,991 ","$115,000,000 ","65,714,300",1973
52,The Robe,"$613,308,665 ","$36,000,000 ","65,454,500",1953
53,Pirates of the Caribbean: Dead Man's Chest,"$605,568,108 ","$423,315,812 ","64,628,400",2006
54,Around the World in 80 Days,"$605,446,298 ","$42,000,000 ","64,615,400",1956
55,Bambi,"$596,985,188 ","$102,247,150 ","63,712,400",1942
56,Blazing Saddles,"$592,555,052 ","$119,616,663 ","63,239,600",1974
57,Batman,"$590,050,451 ","$251,409,241 ","62,972,300",1989
58,The Bells of St. Mary's,"$587,921,587 ","$21,333,333 ","62,745,100",1945
59,The Lord of the Rings: The Return of the King,"$577,563,989 ","$378,251,207 ","61,639,700",2003
60,Finding Nemo,"$577,065,505 ","$380,843,261 ","61,586,500",2003
61,The Towering Inferno,"$575,090,309 ","$116,000,000 ","61,375,700",1974
62,Rogue One: A Star Wars Story,"$566,337,792 ","$533,539,991 ","60,441,600",2016
63,The Lion King,"$565,223,699 ","$543,638,043 ","60,322,700",2019
64,Cinderella,"$565,024,118 ","$93,141,149 ","60,301,400",1950
65,Spider-Man 2,"$563,687,019 ","$373,585,825 ","60,158,700",2004
66,My Fair Lady,"$562,782,814 ","$72,560,711 ","60,062,200",1964
67,The Greatest Show on Earth,"$562,200,000 ","$36,000,000 ","60,000,000",1952
