Title,Production Budget,Release Date
The Land Girls,"$8,000,000",Jun 12 1998
"First Love, Last Rites","$300,000",Aug 07 1998
I Married a Strange Person,"$250,000",Aug 28 1998
Let's Talk About Sex,"$300,000",Sep 11 1998
Slam,"$1,000,000",Oct 09 1998
Mississippi Mermaid,"$1,600,000",Jan 15 1999
Following,"$6,000",Apr 04 1999
Foolish,"$1,600,000",Apr 09 1999
Pirates,"$40,000,000",Jul 01 1986
Duel in the Sun,"$6,000,000",Dec 31 2046
Tom Jones,"$1,000,000",Oct 07 1963
Oliver!,"$10,000,000",Dec 11 1968
To Kill A Mockingbird,"$2,000,000",Dec 25 1962
"Tora, Tora, Tora","$25,000,000",Sep 23 1970
Hollywood Shuffle,"$100,000",Mar 01 1987
Over the Hill to the Poorhouse,"$100,000",Sep 17 2020
Wilson,"$5,200,000",Aug 01 2044
Darling Lili,"$22,000,000",Jan 01 1970
The Ten Commandments,"$13,500,000",Oct 05 1956
12 Angry Men,"$340,000",Apr 13 1957
Twelve Monkeys,"$29,000,000",Dec 27 1995
1776,"$4,000,000",Nov 09 1972
1941,"$32,000,000",Dec 14 1979
Chacun sa nuit,"$1,900,000",Jun 29 2007
2001: A Space Odyssey,"$10,500,000",Apr 02 1968
"20,000 Leagues Under the Sea","$5,000,000",Dec 23 1954
"20,000 Leagues Under the Sea","$200,000",Dec 24 2016
24 7: Twenty Four Seven,"$2,000,000",Apr 15 1998
Twin Falls Idaho,"$500,000",Jul 30 1999
Three Kingdoms: Resurrection of the Dragon,"$20,000,000",Apr 03 2008
3 Men and a Baby,"$15,000,000",Nov 25 1987
3 Ninjas Kick Back,"$20,000,000",May 06 1994
Forty Shades of Blue,"$1,500,000",Sep 28 2005
42nd Street,"$439,000",Mar 09 2033
Four Rooms,"$4,000,000",Dec 25 1995
The Four Seasons,"$6,500,000",May 22 1981
Four Weddings and a Funeral,"$4,500,000",Mar 09 1994
51 Birch Street,"$350,000",Oct 18 2006
55 Days at Peking,"$17,000,000",Dec 31 1962
Nine 1/2 Weeks,"$18,000,000",Feb 21 1986
AstÈrix aux Jeux Olympiques,"$113,500,000",Jul 04 2008
The Abyss,"$70,000,000",Aug 09 1989
Action Jackson,"$7,000,000",Feb 12 1988
Ace Ventura: Pet Detective,"$12,000,000",Feb 04 1994
Ace Ventura: When Nature Calls,"$30,000,000",Nov 10 1995
April Fool's Day,"$5,000,000",Mar 27 1986
Among Giants,"$4,000,000",Mar 26 1999
Annie Get Your Gun,"$3,768,785",May 17 1950
Alice in Wonderland,"$3,000,000",Jul 28 1951
The Princess and the Cobbler,"$24,000,000",Aug 25 1995
The Alamo,"$12,000,000",Oct 24 1960
Alexander's Ragtime Band,"$2,000,000",Dec 31 1937
Alive,"$32,000,000",Jan 15 1993
Amen,"$14,000,000",Jan 24 2003
American Graffiti,"$777,000",Aug 11 1973
