Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Gone With The Wind,1939,1,"$1,895,421,694 ","202,286,200",318,"$402,352,579","$200,882,193 ",50.0,"$201,500,000",50.0,"$3,900,000"
Star Wars Episode Iv  A New Hope,1977,2,"$1,668,979,715 ","178,119,500",102,"$775,398,007","$460,998,507 ",59.0,"$314,399,500",41.0,"$11,000,000"
The Sound Of Music,1965,3,"$1,335,086,324 ","142,485,200",,,"$159,287,539 ",,,,"$8,200,000"
ET The ExtraTerrestrial,1982,4,"$1,329,174,791 ","141,854,300",,,"$437,141,279 ",,,,"$10,500,000"
Titanic,1997,5,"$1,270,101,626 ","135,549,800",3,"$2,201,647,264","$674,292,608 ",30.0,"$1,542,283,320",70.0,"$200,000,000"
The Ten Commandments,1956,6,"$1,227,470,000 ","131,000,000",,,"$65,500,000 ",,,,"$13,500,000"
Jaws,1975,7,"$1,200,856,389 ","128,159,700",245,"$471,411,300","$265,859,065 ",55.00000000000001,"$210,653,000",45.0,"$12,000,000"
Doctor Zhivago,1965,8,"$1,163,149,635 ","124,135,500",,,"$111,721,910 ",,,,"$11,000,000"
The Exorcist,1973,9,"$1,036,314,504 ","110,599,200",276,"$441,306,145","$233,005,644 ",53.0,"$208,400,000",47.0,"$12,000,000"
Snow White And The Seven Dwarfs,1937,10,"$1,021,330,000 ","109,000,000",922,"$184,925,486","$184,925,486 ",100.0,$0,0.0,"$1,488,000"
Star Wars Episode Vii  The Force Awakens,2015,11,"$1,013,038,487 ","108,115,100",4,"$2,069,521,700","$936,662,225 ",45.0,"$1,132,859,475",55.00000000000001,"$245,000,000"
One Hundred And One Dalmatians,1961,12,"$936,225,101 ","99,917,300",770,"$215,880,014","$144,880,014 ",67.0,"$71,000,000",33.0,"$3,600,000"
Star Wars Episode V  The Empire Strikes Back,1980,13,"$920,818,947 ","98,273,100",200,"$538,375,067","$292,753,960 ",54.0,"$245,621,107",46.0,"$33,000,000"
BenHur,1959,14,"$918,699,453 ","98,046,900",,,"$74,432,704 ",,,,"$15,900,000"
Avatar,2009,15,"$911,790,952 ","97,309,600",1,"$2,847,246,203","$785,221,649 ",27.0,"$2,086,738,578",73.0,"$237,000,000"
Avengers Endgame,2019,16,"$892,669,593 ","95,268,900",2,"$2,797,501,328","$858,373,000 ",31.0,"$1,939,128,328",69.0,"$356,000,000"
Star Wars Episode Vi  Return Of The Jedi,1983,17,"$881,336,578 ","94,059,400",240,"$475,106,177","$309,306,177 ",65.0,"$165,800,000",35.0,"$32,500,000"
Jurassic Park,1993,18,"$860,163,189 ","91,799,700",31,"$1,099,428,303","$404,214,720 ",37.0,"$695,213,583",63.0,"$63,000,000"
Star Wars Episode I  The Phantom Menace,1999,19,"$846,224,377 ","90,312,100",,,"$474,544,677 ",,,,"$115,000,000"
The Lion King,1994,20,"$835,301,768 ","89,146,400",38,"$1,063,611,805","$422,783,777 ",40.0,"$640,828,028",60.0,"$79,300,000"
The Sting,1973,21,"$835,268,973 ","89,142,900",,,"$156,000,000 ",,,,"$5,500,000"
Raiders Of The Lost Ark,1981,22,"$829,651,658 ","88,543,400",,,"$248,159,971 ",,,,"$18,000,000"
The Graduate,1967,23,"$801,854,616 ","85,576,800",,,"$104,945,305 ",,,,"$3,000,000"
Fantasia,1941,24,"$778,117,595 ","83,043,500",,,"$76,408,097 ",,,,"$2,280,000"
The Godfather,1972,25,"$739,503,825 ","78,922,500",645,"$246,120,986","$136,381,073 ",55.00000000000001,"$111,154,575",45.0,"$7,000,000"
Forrest Gump,1994,26,"$736,829,627 ","78,637,100",135,"$678,226,133","$330,455,270 ",49.0,"$347,770,863",51.0,"$55,000,000"
Mary Poppins,1964,27,"$732,563,466 ","78,181,800",,,"$102,272,727 ",,,,"$6,000,000"
Grease,1978,28,"$722,413,882 ","77,098,600",325,"$396,271,103","$190,071,103 ",48.0,"$206,200,000",52.0,"$6,000,000"
The Avengers,2012,29,"$720,376,844 ","76,881,200",9,"$1,518,815,515","$623,357,910 ",41.0,"$895,457,605",59.0,"$220,000,000"
Jurassic World,2015,30,"$719,633,803 ","76,801,900",7,"$1,670,516,444","$653,406,625 ",39.0,"$1,018,130,819",61.0,"$150,000,000"
Black Panther,2018,31,"$715,038,755 ","76,311,500",13,"$1,347,597,973","$700,426,566 ",52.0,"$647,171,407",48.0,"$200,000,000"
Thunderball,1965,32,"$700,876,000 ","74,800,000",,,"$63,595,658 ",,,,"$9,000,000"
The Dark Knight,2008,33,"$697,722,995 ","74,463,500",49,"$1,005,973,645","$534,987,076 ",53.0,"$471,115,201",47.0,"$185,000,000"
The Jungle Book,1967,34,"$690,380,663 ","73,679,900",820,"$205,843,612","$141,843,612 ",69.0,"$64,000,000",31.0,"$27,000,000"
Sleeping Beauty,1959,35,"$680,974,120 ","72,676,000",,,"$51,600,000 ",,,,"$6,000,000"
Avengers Infinity War,2018,36,"$678,572,589 ","72,419,700",5,"$2,048,359,754","$678,815,482 ",33.0,"$1,369,544,272",67.0,"$321,200,000"
Ghostbusters,1984,37,"$667,872,049 ","71,277,700",711,"$229,147,509","$243,578,797 ",56.00000000000001,"$100,796,935",44.0,"$30,000,000"
Shrek 2,2004,38,"$665,746,933 ","71,050,900",61,"$928,760,770","$441,226,247 ",48.0,"$487,534,523",52.0,"$70,000,000"
SpiderMan,2002,39,"$661,768,431 ","70,626,300",84,"$825,025,036","$407,022,860 ",49.0,"$418,002,176",51.0,"$139,000,000"
Butch Cassidy And The Sundance Kid,1969,40,"$661,127,523 ","70,557,900",,,"$102,308,889 ",,,,"$6,000,000"
Love Story,1970,41,"$656,035,865 ","70,014,500",,,"$106,550,690 ",,,,"$2,200,000"
Independence Day,1996,42,"$649,049,593 ","69,268,900",87,"$817,400,891","$306,169,268 ",37.0,"$511,231,623",63.0,"$75,000,000"
Home Alone,1990,43,"$634,669,454 ","67,734,200",238,"$476,684,675","$285,761,243 ",60.0,"$190,923,432",40.0,"$15,000,000"
Star Wars Episode Viii  The Last Jedi,2017,44,"$633,360,465 ","67,594,500",15,"$1,332,698,830","$620,181,382 ",47.0,"$712,517,448",53.0,"$200,000,000"
